batch_id,timestamp,source,category,sku,title,price_pen,price_usd,price_date,rating,reviews,url,shipping_usd,total_usd
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0DFKC99VL,"Boxed INTEL CORE Ultra 9 Processor 285K (36M Cache, UP to 5.70 GHZ) FCLGA18W",1700.44,499.0,2026-07-15,4.7,0,,0.0,499.0
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0GMLJCBBM,Intel,1049.57,308.0,2026-07-15,4.7,0,,0.0,308.0
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0G1YLJ3S7,Micro Center,2998.74,879.99,2026-07-15,5.0,0,,0.0,879.99
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0DT7CW7VR,Intel,559.65,164.23,2026-07-15,4.4,0,,0.0,164.23
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0DFK2WHF8,Intel,995.05,292.0,2026-07-15,4.7,0,,0.0,292.0
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0CGJDKLB8,Intel,1622.07,476.0,2026-07-15,4.2,0,,0.0,476.0
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0CHBJGFBC,Intel,1632.29,479.0,2026-07-15,4.3,0,,0.0,479.0
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0DT7BPC5Q,Intel,1076.83,316.0,2026-07-15,4.2,0,,0.0,316.0
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0CHBJXG7G,Intel,1601.58,469.99,2026-07-15,4.3,0,,0.0,469.99
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B08X6KQSZ1,Intel,1530.06,449.0,2026-07-15,4.5,0,,0.0,449.0
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B09FXFJW2F,Intel,650.36,190.85,2026-07-15,4.8,0,,0.0,190.85
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0CQ24VW72,Intel,2082.0,610.97,2026-07-15,4.5,0,,0.0,610.97
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B086MG1C7D,Intel,1495.98,439.0,2026-07-15,4.8,0,,0.0,439.0
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0DMXB5DVP,"Intel Core Ultra 9 285K Arrow Lake 24-Core (8P+16E), LGA 1851, 125W Unlocked Desktop Processor for Z890 Motherboard BX80768285K Plus Mavark Pen Light (Intel Core Ultra 9)",2484.21,729.0,2026-07-15,4.7,0,,0.0,729.0
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0G1YP5FPS,Micro Center,2981.7,874.99,2026-07-15,5.0,0,,0.0,874.99
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0DX7CY3GR,Intel,3179.35,932.99,2026-07-15,0.0,0,,18.0,950.99
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0F2GW3H68,Dell,8515.84,2499.0,2026-07-15,4.3,0,,0.0,2499.0
20260715_150858,2026-07-15T15:26:39.536476+00:00,amazon_usa,CPU,B0H2Z9PLLL,"Intel Core Ultra 9 285K Desktop Processor, 24 Cores, 5.7 GHz Unlocked, 40MB Cache, Compatible with Intel 800 Series Motherboards",2790.91,819.0,2026-07-15,0.0,0,,0.0,819.0
