batch_id,timestamp,source,category,price_pen,price_usd,price_date,rating,reviews,retailer,part_id,url,name
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,406.4,119.49,2026-07-23,63.0,,pcpartpicker_best,J8drxr,https://pcpartpicker.com/product/J8drxr/amd-ryzen-3-3200g-36-ghz-quad-core-processor-yd3200c5fhbox,AMD Ryzen 3 3200G  (63)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,1169.4,343.83,2026-07-23,104.0,,pcpartpicker_best,yhxbt6,https://pcpartpicker.com/product/yhxbt6/intel-core-i7-10700k-38-ghz-8-core-processor-bx8070110700k,Intel Core i7-10700K  (104)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,509.69,149.86,2026-07-23,565.0,,pcpartpicker_best,6vzv6h,https://pcpartpicker.com/product/6vzv6h/intel-cpu-bx80646i74790k,Intel Core i7-4790K  (565)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,1771.97,521.0,2026-07-23,52.0,,pcpartpicker_best,22XJ7P,https://pcpartpicker.com/product/22XJ7P/amd-ryzen-9-7950x-45-ghz-16-core-processor-100-100000514wof,AMD Ryzen 9 7950X  (52)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,2100.76,617.67,2026-07-23,69.0,,pcpartpicker_best,DhVmP6,https://pcpartpicker.com/product/DhVmP6/intel-core-i9-13900k-3-ghz-24-core-processor-bx8071513900k,Intel Core i9-13900K  (69)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,1326.39,389.99,2026-07-23,140.0,,pcpartpicker_best,qryV3C,https://pcpartpicker.com/product/qryV3C/amd-ryzen-7-3800x-39-ghz-8-core-processor-100-100000025box,AMD Ryzen 7 3800X  (140)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,2414.68,709.97,2026-07-23,2.0,,pcpartpicker_best,3ZmNnQ,https://pcpartpicker.com/product/3ZmNnQ/intel-core-i9-14900ks-32-ghz-24-core-processor-bx8071514900ks,Intel Core i9-14900KS  (2)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,874.05,256.99,2026-07-23,509.0,,pcpartpicker_best,tdmxFT,https://pcpartpicker.com/product/tdmxFT/intel-cpu-bx80662i76700k,Intel Core i7-6700K  (509)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,876.09,257.59,2026-07-23,38.0,,pcpartpicker_best,tLKKHx,https://pcpartpicker.com/product/tLKKHx/intel-core-i5-12400-25-ghz-6-core-processor-bx8071512400,Intel Core i5-12400  (38)
prod_20260723_01,2026-07-23T15:56:37.307361+00:00,pcpartpicker_current,cpu,97.92,28.79,2026-07-23,0.0,,pcpartpicker_best,b9X2FT,https://pcpartpicker.com/product/b9X2FT/intel-celeron-g3930-29ghz-dual-core-oemtray-processor-cm8067703015717,Intel Celeron G3930  (0)
