batch_id,timestamp,source,category,sku,title,price_pen,price_usd,price_date,rating,reviews,url,shipping_usd,total_usd
prod_20260723_01,2026-07-23T16:02:04.042725+00:00,amazon_usa,CPU,B0DFK8HHK4,Intel Core Ultra 5 Desktop Processor 245KF - 14 cores (6 P-cores + 8 E-cores) up to 5.2 GHz,617.78,181.64,2026-07-23,4.4,137,https://www.amazon.com/Intel-Core-Ultra-Processor-245KF/dp/B0DFK8HHK4,18.0,199.64
prod_20260723_01,2026-07-23T16:02:07.901894+00:00,amazon_usa,CPU,B09FWYK5M9,Intel Core i9-12900KF Gaming Desktop Processor 16 (8P+8E) Cores up to 5.2 GHz Unlocked LGA1700 600 Series Chipset 125W,1067.84,313.97,2026-07-23,4.6,1100,https://www.amazon.com/Intel-i9-12900KF-Desktop-Processor-Unlocked/dp/B09FWYK5M9,0.0,313.97
prod_20260723_01,2026-07-23T16:02:07.901894+00:00,amazon_usa,CPU,B09FXDLX95,Intel Core i9-12900K Gaming Desktop Processor with Integrated Graphics and 16 (8P+8E) Cores up to 5.2 GHz Unlocked LGA1700 600 Series Chipset 125W,1334.8,392.46,2026-07-23,4.6,2300,https://www.amazon.com/Intel-i9-12900K-Desktop-Processor-Unlocked/dp/B09FXDLX95,0.0,392.46
prod_20260723_01,2026-07-23T16:02:07.901894+00:00,amazon_usa,CPU,B0DYQ8MNZP,"Thermaltake LCGS View u2870TS-380 Gaming Desktop (Intel® Core™ Ultra 9 285K, ToughRam 32GB DDR5 6400MT/s RGB Memory, NVIDIA® GeForce RTX™ 5070 Ti, 2TB NVMe M.2, WiFi, Windows 11) V38S-Z890-57T-LCS",9409.45,2766.59,2026-07-23,3.7,5,https://www.amazon.com/Thermaltake-u2870TS-380-Desktop-ToughRam-V38S-Z890-57T-LCS/dp/B0DYQ8MNZP,0.0,2766.59
prod_20260723_01,2026-07-23T16:02:07.901894+00:00,amazon_usa,CPU,B0DYQJTBHL,"Thermaltake LCGS View u2880-380 Gaming Desktop (Intel® Core™ Ultra 9 285K, ToughRam 32GB DDR5 6400MT/s RGB Memory, NVIDIA® GeForce RTX™ 5080, 2TB NVMe M.2, WiFi, Windows 11) V38B-Z890-580-LCS",11175.88,3285.96,2026-07-23,5.0,1,https://www.amazon.com/Thermaltake-u2880-380-Desktop-ToughRam-V38B-Z890-580-LCS/dp/B0DYQJTBHL,0.0,3285.96
prod_20260723_01,2026-07-23T16:02:07.901894+00:00,amazon_usa,CPU,B0F8RKR1TS,"Thermaltake Reactor u2870T Gaming Desktop (Intel® Core™ Ultra 9 285K, ToughRam 32GB DDR5 6400MT/s RGB Memory, NVIDIA® GeForce RTX™ 5070 Ti, 2TB NVMe M.2, WiFi, Windows 11) T6BK-Z890-57T-LCS",10244.56,3012.13,2026-07-23,5.0,3,https://www.amazon.com/Thermaltake-Reactor-Desktop-ToughRam-T6BK-Z890-57T-LCS/dp/B0F8RKR1TS,0.0,3012.13
prod_20260723_01,2026-07-23T16:02:07.901894+00:00,amazon_usa,CPU,B08X6PPTTH,Intel Core i9-11900K Desktop Processor 8 Cores up to 5.3 GHz Unlocked LGA1200 (Intel 500 Series & Select 400 Series Chipset) 125W,1549.1,455.47,2026-07-23,4.6,1600,https://www.amazon.com/Intel-i9-11900K-Desktop-Processor-Unlocked/dp/B08X6PPTTH,0.0,455.47
prod_20260723_01,2026-07-23T16:02:07.901894+00:00,amazon_usa,CPU,B0FL2NVK1B,HP Z2 G1i Workstation - Tower - Intel Core Ultra 9 285K - 32 GB RAM - 1 TB SSD - NVIDIA 16 GB Graphics - Intel W880 Chip - Windows 11 Pro - English Keyboard - Ethernet - Black,12414.56,3650.16,2026-07-23,0.0,0,https://www.amazon.com/HP-Z2-G1i-Workstation-Generation/dp/B0FL2NVK1B,18.0,3668.16
prod_20260723_01,2026-07-23T16:02:07.901894+00:00,amazon_usa,CPU,B0DXVG8G7K,"CyberpowerPC Gaming PC Intel Core Ultra 9 285K, GeForce RTX 5080 16GB | Gamer Xtreme, 32GB DDR5, 2TB PCIe 4.0 SSD, WiFi Ready & Windows 11 Home (GXiVR8620A9)",10710.2,3149.04,2026-07-23,5.0,1,https://www.amazon.com/CyberPowerPC-Xtreme-GeForce-Windows-GXiVR8620A9/dp/B0DXVG8G7K,0.0,3149.04
prod_20260723_01,2026-07-23T16:02:07.901894+00:00,amazon_usa,CPU,B0DM45SDVW,"msi MEG Z890 GODLIKE, E-ATX - Supports Intel Core Ultra Processors (Series 2), LGA 1851 - Dynamic Dashboard III, EZ Slide M.2, DDR5 (9200+ MT/s OC), M.2 & PCIe 5.0, Thunderbolt 5, Wi-Fi 7, 10G LAN",3272.03,962.05,2026-07-23,4.1,23,https://www.amazon.com/MSI-MEG-Z890-GODLIKE-ATX/dp/B0DM45SDVW,18.0,980.05
