batch_id,timestamp,source,category,sku,brand,title,price_pen,price_orig_pen,price_usd,price_date,discount_pct,rating,available_qty,url,available
20260717_073543,2026-07-17T08:03:35.358844+00:00,falabella_pe,RAM,126629221,KINGSTON,Memoria ram ddr4 8gb 2400mhz LAPTOP,309.0,349.0,91.12,2026-07-17,11.5,,True,https://www.falabella.com.pe/falabella-pe/product/126629221/memoria-ram-ddr4-8gb-kingston-2400mhz-LAPTOP,True
20260717_073543,2026-07-17T08:03:35.358849+00:00,falabella_pe,RAM,140418397,KINGSTON,Memoria Fury Beast 16GB DDR5-6000MHz,1256.0,1570.0,370.36,2026-07-17,20.0,,True,https://www.falabella.com.pe/falabella-pe/product/140418397/Memoria-Kingston-Fury-Beast-16GB-DDR5-6000MHz,True
20260717_073543,2026-07-17T08:03:35.358854+00:00,falabella_pe,RAM,152979283,KINGSTON,Módulo Ram 16Gb Ddr5 5600Mhz Sodimm Para Portátil - Alta Velocidad Y Fiabilidad,1219.0,2039.0,359.45,2026-07-17,40.2,,True,https://www.falabella.com.pe/falabella-pe/product/152979283/modulo-ram-kingston-16gb-ddr5-5600mhz-sodimm-para-portatil-alta-velocidad-y-fiabilidad,True
20260717_073543,2026-07-17T08:03:35.358858+00:00,falabella_pe,RAM,126662216,KINGSTON,Memoria RAM Fury Beast 32GB DDR4 3200Mhz CL16 KF432C16BB2A32,2419.0,2999.0,713.3,2026-07-17,19.3,,True,https://www.falabella.com.pe/falabella-pe/product/126662216/Memoria-RAM-Kingston-Fury-Beast-32GB-DDR4-3200Mhz-CL16-KF432C16BB2A32,True
20260717_073543,2026-07-17T08:03:35.358862+00:00,falabella_pe,RAM,154494069,KINGSTON,MEMORIA RAM 16GB DDR5 SDRAM 5600MHZ CL46 P-N KCP556SS8-16,1486.47,,438.32,2026-07-17,,,True,https://www.falabella.com.pe/falabella-pe/product/154494069/memoria-ram-kingston-16gb-ddr5-sdram-5600mhz-cl46-p-n-kcp556ss8-16,True
20260717_073543,2026-07-17T08:03:38.405230+00:00,falabella_pe,RAM,137179888,KINGSTON,Memoria Ram KCP432SS6/8 8 Gb DDR4 3200Mhz SODIMM,310.0,,91.41,2026-07-17,,,True,https://www.falabella.com.pe/falabella-pe/product/137179888/Memoria-Ram-Kingston-KCP432SS6-8-8-Gb-DDR4-3200Mhz-SODIMM,True
20260717_073543,2026-07-17T08:03:48.249754+00:00,falabella_pe,RAM,152940354,KINGSTON,MEMORIA RAM 16GB5600MHZ DDR5 FURY BEAST KF556C40BB-16 NEGRO,800.0,1200.0,235.9,2026-07-17,33.3,,True,https://www.falabella.com.pe/falabella-pe/product/152940354/memoria-ram-kingston-16gb5600mhz-ddr5-fury-beast-kf556c40bb-16-negro,True
20260717_073543,2026-07-17T08:03:48.249773+00:00,falabella_pe,RAM,146317551,KINGSTON,Memoria RAM Fury Beast 16GB DDR5 6400Mhz CL32,1235.0,1599.0,364.17,2026-07-17,22.8,,True,https://www.falabella.com.pe/falabella-pe/product/146317551/Memoria-RAM-Kingston-Fury-Beast-16GB-DDR5-6400Mhz-CL32,True
20260717_073543,2026-07-17T08:03:48.249781+00:00,falabella_pe,RAM,141404748,KINGSTON,Memoria RAM KVR56S46BS8-16 16GB SODIMM 5600MHz DDR5,1262.0,2103.0,372.13,2026-07-17,40.0,,True,https://www.falabella.com.pe/falabella-pe/product/141404748/Memoria-RAM-Kingston-KVR56S46BS8-16-16GB-SODIMM-5600MHz-DDR5,True
20260717_073543,2026-07-17T08:03:48.249787+00:00,falabella_pe,RAM,148357525,KINGSTON,Memoria RAM DDR5 8GB 5600Mhz SODIMM CL46 KVR56S46BS6-8,689.0,799.0,203.17,2026-07-17,13.8,,True,https://www.falabella.com.pe/falabella-pe/product/148357525/Memoria-RAM-Kingston-DDR5-8GB-5600Mhz-SODIMM-CL46-KVR56S46BS6-8,True
20260717_073543,2026-07-17T08:03:48.249793+00:00,falabella_pe,RAM,153729911,KINGSTON,Memoria RAM KF580C38RSA-16 16GB Renegade RGB DDR5,1335.0,1907.0,393.65,2026-07-17,30.0,,True,https://www.falabella.com.pe/falabella-pe/product/153729911/memoria-ram-kingston-kf580c38rsa-16-16gb-renegade-rgb-ddr5,True
20260717_073543,2026-07-17T08:03:48.249799+00:00,falabella_pe,RAM,142037764,KINGSTON,Memoria RAM KVR56S46BS6-8 8GB 5600MHz SODIMM DDR5,721.0,1442.0,212.6,2026-07-17,50.0,,True,https://www.falabella.com.pe/falabella-pe/product/142037764/Memoria-RAM-Kingston-KVR56S46BS6-8-8GB-5600MHz-SODIMM-DDR5,True
20260717_073543,2026-07-17T08:03:48.249804+00:00,falabella_pe,RAM,152399715,KINGSTON,Memoria RAM KF556C36BWE-16 16GB DDR5 5600MHz White,1243.0,1776.0,366.53,2026-07-17,30.0,,True,https://www.falabella.com.pe/falabella-pe/product/152399715/memoria-ram-kingston-kf556c36bwe-16-16gb-ddr5-5600mhz-white,True
20260717_073543,2026-07-17T08:03:48.249809+00:00,falabella_pe,RAM,140899251,KINGSTON,Memoria RAM 16GB DDR5 5600Mhz SODIMM CL46 KVR56S46BS8-16,1225.0,1499.0,361.22,2026-07-17,18.3,,True,https://www.falabella.com.pe/falabella-pe/product/140899251/Memoria-RAM-Kingston-16GB-DDR5-5600Mhz-SODIMM-CL46-KVR56S46BS8-16,True
20260717_073543,2026-07-17T08:03:48.249814+00:00,falabella_pe,RAM,127740220,KINGSTON,Memoria RAM FURY Impact DDR5 16GB 5600Mhz SODIMM KF556S40IB16,1239.0,1499.0,365.35,2026-07-17,17.3,,True,https://www.falabella.com.pe/falabella-pe/product/127740220/Memoria-RAM-Kingston-FURY-Impact-DDR5-16GB-5600Mhz-SODIMM-KF556S40IB16,True
20260717_073543,2026-07-17T08:03:48.249819+00:00,falabella_pe,RAM,146322411,KINGSTON,Memoria RAM Fury Beast 8GB DDR5 6000Mhz CL36 DIMM,669.0,829.0,197.27,2026-07-17,19.3,,True,https://www.falabella.com.pe/falabella-pe/product/146322411/Memoria-RAM-Kingston-Fury-Beast-8GB-DDR5-6000Mhz-CL36-DIMM,True
20260717_073543,2026-07-17T08:03:48.249824+00:00,falabella_pe,RAM,145821327,KINGSTON,Memoria RAM FURY Beast RGB 16GB 1x16GB DDR5 Negro,1270.0,1411.0,374.49,2026-07-17,10.0,,True,https://www.falabella.com.pe/falabella-pe/product/145821327/Memoria-RAM-Kingston-FURY-Beast-RGB-16GB-1x16GB-DDR5-Negro,True
20260717_073543,2026-07-17T08:03:48.249829+00:00,falabella_pe,RAM,152399783,KINGSTON,Memoria RAM KF572C38RWA-16 16GB DDR5 7200MHz RGB White,1374.0,1963.0,405.15,2026-07-17,30.0,,True,https://www.falabella.com.pe/falabella-pe/product/152399783/memoria-ram-kingston-kf572c38rwa-16-16gb-ddr5-7200mhz-rgb-white,True
20260717_073543,2026-07-17T08:03:48.249834+00:00,falabella_pe,RAM,153925059,KINGSTON,MEMORIA RAM 8GB KCP556US6 5.6G DDR5 VERDE PN me8gkcp556us6,702.94,,207.28,2026-07-17,,,True,https://www.falabella.com.pe/falabella-pe/product/153925059/memoria-ram-kingston-8gb-kcp556us6-5-6g-ddr5-verde-pn-me8gkcp556us6,True
20260717_073543,2026-07-17T08:03:48.249840+00:00,falabella_pe,RAM,126807072,KINGSTON,Memoria RAM Fury Impact 16GB DDR5 4800Mhz SODIMM KF548S38IB16,1215.0,1399.0,358.27,2026-07-17,13.2,,True,https://www.falabella.com.pe/falabella-pe/product/126807072/memoria-ram-kingston-fury-impact-16gb-ddr5-4800mhz-sodimm-kf548s38ib16,True
20260717_073543,2026-07-17T08:03:48.249846+00:00,falabella_pe,RAM,121373071,KINGSTON,Memoria RAM FURY Renegade ARGB 16GB DDR5 6400MHz CL32,1239.0,1500.0,365.35,2026-07-17,17.4,,True,https://www.falabella.com.pe/falabella-pe/product/121373071/Memoria-RAM-Kingston-FURY-Renegade-ARGB-16GB-DDR5-6400MHz-CL32,True
20260717_073543,2026-07-17T08:03:48.249851+00:00,falabella_pe,RAM,136937931,KINGSTON,Memoria RAM Fury Beast 16GB DIMM RGB DDR5 6000Mhz CL36,1229.0,1499.0,362.4,2026-07-17,18.0,,True,https://www.falabella.com.pe/falabella-pe/product/136937931/Memoria-RAM-Kingston-Fury-Beast-16GB-DIMM-RGB-DDR5-6000Mhz-CL36,True
20260717_073543,2026-07-17T08:03:48.249856+00:00,falabella_pe,RAM,153729907,KINGSTON,"Memoria RAM KF576C38RSA-16, 16GB DDR5-7600 MHZ, CL38, 1.45V",1286.0,2572.0,379.21,2026-07-17,50.0,,True,https://www.falabella.com.pe/falabella-pe/product/153729907/memoria-ram-kingston-kf576c38rsa-16-16gb-ddr5-7600-mhz-cl38-1-45v,True
20260717_073543,2026-07-17T08:03:48.249861+00:00,falabella_pe,RAM,123963088,KINGSTON,Memoria RAM Fury Beast 16GB DDR5 5600Mhz CL40 ECC Negro,1219.0,1549.0,359.45,2026-07-17,21.3,,True,https://www.falabella.com.pe/falabella-pe/product/123963088/Memoria-RAM-Kingston-Fury-Beast-16GB-DDR5-5600Mhz-CL40-ECC-Negro,True
