batch_id,timestamp,source,category,sku,title,price_pen,price_usd,price_date,rating,reviews,url,shipping_usd,total_usd
20260725_181059,2026-07-25T18:44:18.097730+00:00,amazon_usa,CPU,B0DFKC99VL,Intel Core™ Ultra 9 Processor 285K 24 cores (8 P-cores + 16 E-cores) up to 5.7 GHz,496.14,145.71,2026-07-25,4.7,758,https://www.amazon.com/Intel-Core-Ultra-Processor-285K/dp/B0DFKC99VL,0.0,145.71
20260725_181059,2026-07-25T18:44:18.097730+00:00,amazon_usa,CPU,B0G1YLJ3S7,Micro Center CPU Motherboard Combo - Ultra 9 285K 24-Cores LGA 1851 Desktop Processor Bundle with Tuf Gaming Z890-Plus WiFi Motherboard,880.26,258.52,2026-07-25,5.0,1,https://www.amazon.com/Micro-Center-CPU-Motherboard-Combo/dp/B0G1YLJ3S7,0.0,258.52
20260725_181059,2026-07-25T18:44:18.097730+00:00,amazon_usa,CPU,B0GMLJCBBM,Intel Core™ Ultra 7 Processor 270K Plus 24 cores (8 P-cores + 16 E-cores) up to 5.5 GHz,306.08,89.89,2026-07-25,4.7,179,https://www.amazon.com/Intel%C2%AE-CoreTM-Processor-270K-P-cores/dp/B0GMLJCBBM,0.0,89.89
20260725_181059,2026-07-25T18:44:18.097730+00:00,amazon_usa,CPU,B0DT7JDLDH,"Intel Core™ Ultra 9 Desktop Processor 285 24 cores (8 P-cores + 16 E-cores) up to 5.6 GHz | 24 Cores and 24 Threads, Up to 5.6 Ghz Turbo, 36 MB Intel Smart Cache, FCLGA1851 Socket, Ddr5-6400, 65W Base",580.14,170.38,2026-07-25,4.5,61,https://www.amazon.com/Intel%C2%AE-CoreTM-Desktop-Processor-P-cores/dp/B0DT7JDLDH,0.0,170.38
20260725_181059,2026-07-25T18:44:18.097730+00:00,amazon_usa,CPU,B0G1YP5FPS,Micro Center CPU Motherboard Combo - Ultra 9 285K 24-Cores LGA 1851 Desktop Processor Bundle with MAG Z890 Tomahawk WiFi Gaming Motherboard,870.25,255.58,2026-07-25,5.0,2,https://www.amazon.com/Micro-Center-CPU-Motherboard-Combo/dp/B0G1YP5FPS,0.0,255.58
20260725_181059,2026-07-25T18:44:18.097730+00:00,amazon_usa,CPU,B0DFK2MH2D,Intel Core Ultra 7 Desktop Processor 265K - 20 cores (8 P-cores + 12 E-cores) up to 5.5 GHz,330.08,96.94,2026-07-25,4.8,1300,https://www.amazon.com/Intel-Core-Ultra-Processor-265K/dp/B0DFK2MH2D,0.0,96.94
20260725_181059,2026-07-25T18:44:18.097730+00:00,amazon_usa,CPU,B0DT7CW7VR,Intel Core™ Ultra 5 Desktop Processor 225F 10 cores (6 P-cores + 4 E-cores) up to 4.9 GHz,158.03,46.41,2026-07-25,4.5,84,https://www.amazon.com/Intel%C2%AE-CoreTM-Desktop-Processor-P-cores/dp/B0DT7CW7VR,0.0,46.41
20260725_181059,2026-07-25T18:44:18.097730+00:00,amazon_usa,CPU,B0DT7FY7P3,"Intel Core™ Ultra 7 Desktop Processor 265 20 cores (8 P-cores + 12 E-cores) up to 5.3 GHz | 20 Threads, 30 MB L3, LGA1851, Ddr5-6400 Support, 65W Base Power",371.89,109.22,2026-07-25,4.7,18,https://www.amazon.com/Intel%C2%AE-CoreTM-Desktop-Processor-P-cores/dp/B0DT7FY7P3,0.0,109.22
20260725_181059,2026-07-25T18:44:18.097730+00:00,amazon_usa,CPU,B0CGJDBCTK,"Intel Core™ i9-14900KF New Gaming Desktop Processor 24 cores (8 P-cores + 16 E-cores) - Unlocked | 24 Cores, 32 Threads, Up to 6.0 Ghz Boost, 36MB L3, LGA1700, 125W Base Power, No Integrated Graphics",452.9,133.01,2026-07-25,4.2,541,https://www.amazon.com/Intel%C2%AE-i9-14900KF-Desktop-Processor-P-cores/dp/B0CGJDBCTK,0.0,133.01
20260725_181059,2026-07-25T18:44:18.097730+00:00,amazon_usa,CPU,B0CHBJGFBC,Intel Core™ i9-14900K Desktop Processor 24 cores (8 P-cores + 16 E-cores) up to 6.0 GHz,479.83,140.92,2026-07-25,4.3,974,https://www.amazon.com/Intel-i9-14900K-Raptor-LGA1700-Processor/dp/B0CHBJGFBC,0.0,140.92
20260725_181059,2026-07-25T18:44:18.097730+00:00,amazon_usa,CPU,B09FXDLX95,Intel Core i9-12900K Gaming Desktop Processor with Integrated Graphics and 16 (8P+8E) Cores up to 5.2 GHz Unlocked LGA1700 600 Series Chipset 125W,430.09,126.31,2026-07-25,4.6,2300,https://www.amazon.com/Intel-i9-12900K-Desktop-Processor-Unlocked/dp/B09FXDLX95,0.0,126.31
20260725_181059,2026-07-25T18:44:18.097730+00:00,amazon_usa,CPU,B08X6PPTTH,Intel Core i9-11900K Desktop Processor 8 Cores up to 5.3 GHz Unlocked LGA1200 (Intel 500 Series & Select 400 Series Chipset) 125W,499.14,146.59,2026-07-25,4.6,1600,https://www.amazon.com/Intel-i9-11900K-Desktop-Processor-Unlocked/dp/B08X6PPTTH,0.0,146.59
