batch_id,timestamp,source,category,sku,brand,title,price_pen,price_orig_pen,price_usd,price_date,discount_pct,rating,reviews,url
prod_20260723_01,2026-07-23T15:28:29.973948+00:00,falabella_pe,laptops,883746941,LENOVO,"Laptop Gamer LOQ serie 200 AMD Ryzen 7 RTX 5050 16GB RAM 512GB SSD 15.6"" FHD 144Hz",6699.0,0.0,1969.66,2026-07-23,0.0,3.9048,21,https://www.falabella.com.pe/falabella-pe/product/883746941/laptop-gamer-lenovo-loq-serie-200-amd-ryzen-7-rtx-5050-16gb-ram-512gb-ssd-15-6-fhd-144hz
prod_20260723_01,2026-07-23T15:28:29.973948+00:00,falabella_pe,laptops,80093845,APPLE,Macbook Air Chip M5 15.3 10C GPU 16GB RAM 512GB,6599.0,0.0,1940.25,2026-07-23,0.0,5.0,1,https://www.falabella.com.pe/falabella-pe/product/80093845/mba-15-3-stl-10c-gpu-16gb-512g
prod_20260723_01,2026-07-23T15:28:29.973948+00:00,falabella_pe,laptops,142154580,APPLE,Nuevo MacBook Air M5 13” 16GB RAM + 512GB ( Teclado Ingles ) - Midnight 2026,6499.0,0.0,1910.85,2026-07-23,0.0,4.8462,13,https://www.falabella.com.pe/falabella-pe/product/142154580/Nuevo-MacBook-Air-M4-13%E2%80%9D-16GB-RAM-256GB-Midnight-(2025)-(Teclado-Ingles)
prod_20260723_01,2026-07-23T15:28:29.973948+00:00,falabella_pe,laptops,883856473,ASUS,"Vivobook 15 Intel Core 5 120U 8GB 512SSD 15.6"" FHD",3199.0,0.0,940.58,2026-07-23,0.0,4.5,2,https://www.falabella.com.pe/falabella-pe/product/883856473/nb-c5-120u-8gb-512gb-15-6-fhd-ips
prod_20260723_01,2026-07-23T15:28:29.973948+00:00,falabella_pe,laptops,883581384,LENOVO,"Laptop Amd Ryzen Ia 7 350 32gb 1tb Ssd Yoga 7 2 En 1 14"" Oled Wuxga Tactil",7199.0,0.0,2116.67,2026-07-23,0.0,4.5833,12,https://www.falabella.com.pe/falabella-pe/product/883581384/laptop-amd-ryzen-ia-7-350-32gb-1tb-ssd-yoga-7-2-en-1-14-oled-wuxga-tactil
prod_20260723_01,2026-07-23T15:28:29.973948+00:00,falabella_pe,laptops,80054261,HP,"Laptop 15-fd0331la Intel Core 3 8 GB ram 512 GB SSD 15.6"" FHD Windows 11 Home",2699.0,0.0,793.57,2026-07-23,0.0,4.8462,13,https://www.falabella.com.pe/falabella-pe/product/80054261/hp-laptop-15-fd0331la-15-6-8gb
prod_20260723_01,2026-07-23T15:28:29.973948+00:00,falabella_pe,laptops,883746945,ASUS,"Laptop Gamer Rog Strix G16 Intel Core I7 14650hx 16gb Ram 512 Gb Ssd Nvidia Geforce Rtx 5060 16""",9899.0,0.0,2910.53,2026-07-23,0.0,3.4615,13,https://www.falabella.com.pe/falabella-pe/product/883746945/laptop-gamer-asus-rog-strix-g16-intel-core-i7-14650hx-16gb-ram-512-gb-ssd-nvidia-geforce-rtx-5060-16
prod_20260723_01,2026-07-23T15:28:29.973948+00:00,falabella_pe,laptops,142167476,APPLE,Nuevo MacBook Air M5 13” 16GB RAM 512GB (Teclado Ingles) - Starlight (2025),6499.0,0.0,1910.85,2026-07-23,0.0,5.0,11,https://www.falabella.com.pe/falabella-pe/product/142167476/nuevo-macbook-air-m4-13-16gb-ram-256gb-teclado-ingles-starlight-2025
prod_20260723_01,2026-07-23T15:28:29.973948+00:00,falabella_pe,laptops,21513103,HP,"Laptop AMD Ryzen 7 8 GB RAM 512 GB SSD 15.6""",4299.0,0.0,1264.0,2026-07-23,0.0,4.5,2,https://www.falabella.com.pe/falabella-pe/product/21513103/laptop-hp-amd-ryzen-7-8-gb-ram-512-gb-ssd-15-6
prod_20260723_01,2026-07-23T15:28:29.973948+00:00,falabella_pe,laptops,151940932,HP,Laptop OMEN 16-ap0003la AMD Ryzen AI 7 32GB 1TB RTX 5070,8199.0,0.0,2410.69,2026-07-23,0.0,3.6923,26,https://www.falabella.com.pe/falabella-pe/product/151940932/laptop-hp-omen-16-ap0003la-amd-ryzen-ai-7-32gb-1tb-rtx-5070
