batch_id,scraped_at,source,item_id,category,title,price_pen,original_price,discount_pct,seller,brand,condition,sold_quantity,available_qty,rating,reviews_count,url,fingerprint
20260710_155320,2026-07-10T15:55:27.873510+00:00,falabella,139d107df2c8,GPU,"Riser Vertical Antec Shift Pcie 4.0 Para Gpu Rtx 40 - Conexión Optimizada, Diseño Blanco",0.0,0.0,0.0,,,new,0,0,0.0,0,,e1cf4f52c9ba921eff72bc7ba2e1b825
20260710_155320,2026-07-10T15:55:27.878109+00:00,falabella,0c1f40c61f12,GPU,"Riser Gpu Antec Shift Pcie 4.0 Vertical - Compatible Rtx 40, Diseño Elegante En Negro",0.0,0.0,0.0,,,new,0,0,0.0,0,,8382bb497e0233cda3a766e03cff6edd
20260710_155320,2026-07-10T15:55:31.099701+00:00,falabella,712e8342b894,GPU,ULTIMA Tarjeta de video RTX 5060 Ti EAGLE OC 8G GDDR7,3200.0,3200.0,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,c7acb9658a5a5e793a17715f091ea3da
20260710_155320,2026-07-10T15:55:31.113035+00:00,falabella,712e8342b894,GPU,ULTIMA Tarjeta de video RTX 5060 Ti EAGLE OC 8G GDDR7,3200.0,3200.0,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,c7acb9658a5a5e793a17715f091ea3da
20260710_155320,2026-07-10T15:55:31.114051+00:00,falabella,712e8342b894,GPU,ULTIMA Tarjeta de video RTX 5060 Ti EAGLE OC 8G GDDR7,0.0,0.0,0.0,,,new,0,0,0.0,0,,f53df6bbbaf4738b82745981ca1b5aac
20260710_155320,2026-07-10T15:55:31.115719+00:00,falabella,fa7a47059ab2,GPU,"Tarjeta de video GeForce RTX 5060 Ti OC, 8GB GDDR7, PCI Express 5.0 x8",0.0,0.0,0.0,,,new,0,0,0.0,0,,35b16a5c277628dcea91c7528457c971
20260710_155320,2026-07-10T15:55:31.117519+00:00,falabella,b5a95e21d021,GPU,ULTIMA Tarjeta de video RTX 5050 WINDFORCE OC V2 8G GDDR6,0.0,0.0,0.0,,,new,0,0,0.0,0,,64d52c75d40851a2cce1321ea8be5cf0
20260710_155320,2026-07-10T15:55:31.119219+00:00,falabella,4c6f04bbeb60,GPU,"Tarjeta de video GeForce RTX5060 Dual Fan GPU, 8GB GDDR7, PCIe Gen 5",0.0,0.0,0.0,,,new,0,0,0.0,0,,897439410d2dfb0c1966d372c83a093e
20260710_155320,2026-07-10T15:55:31.120956+00:00,falabella,4c6f04bbeb60,GPU,"Tarjeta de video GeForce RTX5060 Dual Fan GPU, 8GB GDDR7, PCIe Gen 5",0.0,0.0,0.0,,,new,0,0,0.0,0,,897439410d2dfb0c1966d372c83a093e
20260710_155320,2026-07-10T15:55:31.124768+00:00,falabella,139d107df2c8,GPU,"Riser Vertical Antec Shift Pcie 4.0 Para Gpu Rtx 40 - Conexión Optimizada, Diseño Blanco",0.0,0.0,0.0,,,new,0,0,0.0,0,,e1cf4f52c9ba921eff72bc7ba2e1b825
20260710_155320,2026-07-10T15:55:31.129106+00:00,falabella,0c1f40c61f12,GPU,"Riser Gpu Antec Shift Pcie 4.0 Vertical - Compatible Rtx 40, Diseño Elegante En Negro",0.0,0.0,0.0,,,new,0,0,0.0,0,,8382bb497e0233cda3a766e03cff6edd
20260710_155320,2026-07-10T15:55:31.135879+00:00,falabella,993f8ac0c51a,GPU,TARJETA GRAFICA PNY Quadro M6000 12GB GDDR5 Graphics Video Card GPU,0.0,0.0,0.0,,,new,0,0,0.0,0,,22f1d143466cbe8b04df3699b2bff2d3
20260710_155320,2026-07-10T15:55:35.941731+00:00,falabella,712e8342b894,GPU,ULTIMA Tarjeta de video RTX 5060 Ti EAGLE OC 8G GDDR7,3200.0,3200.0,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,c7acb9658a5a5e793a17715f091ea3da
20260710_155320,2026-07-10T15:55:35.952086+00:00,falabella,712e8342b894,GPU,ULTIMA Tarjeta de video RTX 5060 Ti EAGLE OC 8G GDDR7,3200.0,3200.0,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,c7acb9658a5a5e793a17715f091ea3da
20260710_155320,2026-07-10T15:55:35.953455+00:00,falabella,712e8342b894,GPU,ULTIMA Tarjeta de video RTX 5060 Ti EAGLE OC 8G GDDR7,0.0,0.0,0.0,,,new,0,0,0.0,0,,f53df6bbbaf4738b82745981ca1b5aac
20260710_155320,2026-07-10T15:55:35.955577+00:00,falabella,fa7a47059ab2,GPU,"Tarjeta de video GeForce RTX 5060 Ti OC, 8GB GDDR7, PCI Express 5.0 x8",0.0,0.0,0.0,,,new,0,0,0.0,0,,35b16a5c277628dcea91c7528457c971
20260710_155320,2026-07-10T15:55:35.957772+00:00,falabella,b5a95e21d021,GPU,ULTIMA Tarjeta de video RTX 5050 WINDFORCE OC V2 8G GDDR6,0.0,0.0,0.0,,,new,0,0,0.0,0,,64d52c75d40851a2cce1321ea8be5cf0
20260710_155320,2026-07-10T15:55:35.959533+00:00,falabella,4c6f04bbeb60,GPU,"Tarjeta de video GeForce RTX5060 Dual Fan GPU, 8GB GDDR7, PCIe Gen 5",0.0,0.0,0.0,,,new,0,0,0.0,0,,897439410d2dfb0c1966d372c83a093e
20260710_155320,2026-07-10T15:55:35.961435+00:00,falabella,4c6f04bbeb60,GPU,"Tarjeta de video GeForce RTX5060 Dual Fan GPU, 8GB GDDR7, PCIe Gen 5",0.0,0.0,0.0,,,new,0,0,0.0,0,,897439410d2dfb0c1966d372c83a093e
20260710_155320,2026-07-10T15:55:35.965726+00:00,falabella,139d107df2c8,GPU,"Riser Vertical Antec Shift Pcie 4.0 Para Gpu Rtx 40 - Conexión Optimizada, Diseño Blanco",0.0,0.0,0.0,,,new,0,0,0.0,0,,e1cf4f52c9ba921eff72bc7ba2e1b825
20260710_155320,2026-07-10T15:55:35.970224+00:00,falabella,0c1f40c61f12,GPU,"Riser Gpu Antec Shift Pcie 4.0 Vertical - Compatible Rtx 40, Diseño Elegante En Negro",0.0,0.0,0.0,,,new,0,0,0.0,0,,8382bb497e0233cda3a766e03cff6edd
20260710_155320,2026-07-10T15:56:34.886416+00:00,falabella,a79672e35dba,RAM,"Memoria RAM HyperX Fury Blue, 8GB, DDR3, 1600 MHz",920.0,920.0,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,dbd088d588ada07bea96e6817dea0169
20260710_155320,2026-07-10T15:56:34.907814+00:00,falabella,a79672e35dba,RAM,"Memoria RAM HyperX Fury Blue, 8GB, DDR3, 1600 MHz",920.0,920.0,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,dbd088d588ada07bea96e6817dea0169
20260710_155320,2026-07-10T15:56:34.908819+00:00,falabella,a79672e35dba,RAM,"Memoria RAM HyperX Fury Blue, 8GB, DDR3, 1600 MHz",0.0,0.0,0.0,,,new,0,0,0.0,0,,0c09c9641dfc80db3683ba241392272e
20260710_155320,2026-07-10T15:56:34.911180+00:00,falabella,126bec050340,RAM,Memoria RAM Fury 16GB 3200 MHz CL20 SODIMM DDR4 KF432S20IB/16,0.0,0.0,0.0,,,new,0,0,0.0,0,,82ce0bafb192800088d198a50fd01a2e
