batch_id,scraped_at,source,item_id,category,title,price_pen,original_price,discount_pct,seller,brand,condition,sold_quantity,available_qty,rating,reviews_count,url,fingerprint
20260710_153603,2026-07-10T15:36:45.097199+00:00,falabella,561c2db0ab84,CPU,"Cpu procesador core i7 10700 2.9/4.8ghz 10ma g, discos ssd 500gb , ram 16",2088.9,2088.9,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,deb8c991aee98eaece17f9533724a27d
20260710_153603,2026-07-10T15:36:45.099648+00:00,falabella,561c2db0ab84,CPU,"Cpu procesador core i7 10700 2.9/4.8ghz 10ma g, discos ssd 500gb , ram 16",2088.9,2088.9,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,deb8c991aee98eaece17f9533724a27d
20260710_153603,2026-07-10T15:36:45.100638+00:00,falabella,561c2db0ab84,CPU,"Cpu procesador core i7 10700 2.9/4.8ghz 10ma g, discos ssd 500gb , ram 16",0.0,0.0,0.0,,,new,0,0,0.0,0,,d0d9a3ac40490947b2ce688344e66847
20260710_153603,2026-07-10T15:36:45.112071+00:00,falabella,d37b90001329,CPU,Cpu Ryzen Threadripper 9960X 24-Cores 100-100001595Wof Velocidad,0.0,0.0,0.0,,,new,0,0,0.0,0,,4e50bbbb91c83c2b28df92e26d18c517
20260710_153603,2026-07-10T15:36:50.293312+00:00,falabella,561c2db0ab84,CPU,"Cpu procesador core i7 10700 2.9/4.8ghz 10ma g, discos ssd 500gb , ram 16",2088.9,2088.9,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,deb8c991aee98eaece17f9533724a27d
20260710_153603,2026-07-10T15:36:50.295702+00:00,falabella,561c2db0ab84,CPU,"Cpu procesador core i7 10700 2.9/4.8ghz 10ma g, discos ssd 500gb , ram 16",2088.9,2088.9,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,deb8c991aee98eaece17f9533724a27d
20260710_153603,2026-07-10T15:36:50.296333+00:00,falabella,561c2db0ab84,CPU,"Cpu procesador core i7 10700 2.9/4.8ghz 10ma g, discos ssd 500gb , ram 16",0.0,0.0,0.0,,,new,0,0,0.0,0,,d0d9a3ac40490947b2ce688344e66847
20260710_153603,2026-07-10T15:36:50.307641+00:00,falabella,d37b90001329,CPU,Cpu Ryzen Threadripper 9960X 24-Cores 100-100001595Wof Velocidad,0.0,0.0,0.0,,,new,0,0,0.0,0,,4e50bbbb91c83c2b28df92e26d18c517
20260710_153603,2026-07-10T15:36:54.560695+00:00,falabella,561c2db0ab84,CPU,"Cpu procesador core i7 10700 2.9/4.8ghz 10ma g, discos ssd 500gb , ram 16",2088.9,2088.9,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,deb8c991aee98eaece17f9533724a27d
20260710_153603,2026-07-10T15:36:54.563056+00:00,falabella,561c2db0ab84,CPU,"Cpu procesador core i7 10700 2.9/4.8ghz 10ma g, discos ssd 500gb , ram 16",2088.9,2088.9,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,deb8c991aee98eaece17f9533724a27d
20260710_153603,2026-07-10T15:36:54.563678+00:00,falabella,561c2db0ab84,CPU,"Cpu procesador core i7 10700 2.9/4.8ghz 10ma g, discos ssd 500gb , ram 16",0.0,0.0,0.0,,,new,0,0,0.0,0,,d0d9a3ac40490947b2ce688344e66847
20260710_153603,2026-07-10T15:36:54.574944+00:00,falabella,d37b90001329,CPU,Cpu Ryzen Threadripper 9960X 24-Cores 100-100001595Wof Velocidad,0.0,0.0,0.0,,,new,0,0,0.0,0,,4e50bbbb91c83c2b28df92e26d18c517
20260710_153603,2026-07-10T15:37:55.405863+00:00,falabella,712e8342b894,GPU,ULTIMA Tarjeta de video RTX 5060 Ti EAGLE OC 8G GDDR7,3200.0,3200.0,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,c7acb9658a5a5e793a17715f091ea3da
20260710_153603,2026-07-10T15:37:55.407072+00:00,falabella,712e8342b894,GPU,ULTIMA Tarjeta de video RTX 5060 Ti EAGLE OC 8G GDDR7,3200.0,3200.0,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,c7acb9658a5a5e793a17715f091ea3da
20260710_153603,2026-07-10T15:37:55.408336+00:00,falabella,712e8342b894,GPU,ULTIMA Tarjeta de video RTX 5060 Ti EAGLE OC 8G GDDR7,0.0,0.0,0.0,,,new,0,0,0.0,0,,f53df6bbbaf4738b82745981ca1b5aac
20260710_153603,2026-07-10T15:37:55.410644+00:00,falabella,fa7a47059ab2,GPU,"Tarjeta de video GeForce RTX 5060 Ti OC, 8GB GDDR7, PCI Express 5.0 x8",0.0,0.0,0.0,,,new,0,0,0.0,0,,35b16a5c277628dcea91c7528457c971
20260710_153603,2026-07-10T15:37:55.413005+00:00,falabella,b5a95e21d021,GPU,ULTIMA Tarjeta de video RTX 5050 WINDFORCE OC V2 8G GDDR6,0.0,0.0,0.0,,,new,0,0,0.0,0,,64d52c75d40851a2cce1321ea8be5cf0
20260710_153603,2026-07-10T15:37:55.414703+00:00,falabella,4c6f04bbeb60,GPU,"Tarjeta de video GeForce RTX5060 Dual Fan GPU, 8GB GDDR7, PCIe Gen 5",0.0,0.0,0.0,,,new,0,0,0.0,0,,897439410d2dfb0c1966d372c83a093e
20260710_153603,2026-07-10T15:37:55.416593+00:00,falabella,4c6f04bbeb60,GPU,"Tarjeta de video GeForce RTX5060 Dual Fan GPU, 8GB GDDR7, PCIe Gen 5",0.0,0.0,0.0,,,new,0,0,0.0,0,,897439410d2dfb0c1966d372c83a093e
20260710_153603,2026-07-10T15:37:55.422028+00:00,falabella,139d107df2c8,GPU,"Riser Vertical Antec Shift Pcie 4.0 Para Gpu Rtx 40 - Conexión Optimizada, Diseño Blanco",0.0,0.0,0.0,,,new,0,0,0.0,0,,e1cf4f52c9ba921eff72bc7ba2e1b825
20260710_153603,2026-07-10T15:37:55.427830+00:00,falabella,0c1f40c61f12,GPU,"Riser Gpu Antec Shift Pcie 4.0 Vertical - Compatible Rtx 40, Diseño Elegante En Negro",0.0,0.0,0.0,,,new,0,0,0.0,0,,8382bb497e0233cda3a766e03cff6edd
20260710_153603,2026-07-10T15:37:58.982601+00:00,falabella,712e8342b894,GPU,ULTIMA Tarjeta de video RTX 5060 Ti EAGLE OC 8G GDDR7,3200.0,3200.0,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,c7acb9658a5a5e793a17715f091ea3da
20260710_153603,2026-07-10T15:37:58.983816+00:00,falabella,712e8342b894,GPU,ULTIMA Tarjeta de video RTX 5060 Ti EAGLE OC 8G GDDR7,3200.0,3200.0,0.0,,,new,0,0,0.0,0,https://www.falabella.com.pe,c7acb9658a5a5e793a17715f091ea3da
20260710_153603,2026-07-10T15:37:58.985065+00:00,falabella,712e8342b894,GPU,ULTIMA Tarjeta de video RTX 5060 Ti EAGLE OC 8G GDDR7,0.0,0.0,0.0,,,new,0,0,0.0,0,,f53df6bbbaf4738b82745981ca1b5aac
20260710_153603,2026-07-10T15:37:58.987366+00:00,falabella,fa7a47059ab2,GPU,"Tarjeta de video GeForce RTX 5060 Ti OC, 8GB GDDR7, PCI Express 5.0 x8",0.0,0.0,0.0,,,new,0,0,0.0,0,,35b16a5c277628dcea91c7528457c971
