epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,9,,500.7713317871094,,,,,
0,,19,,501.4287414550781,,,,,
0,,29,,387.93975830078125,,,,,
0,,39,,407.41534423828125,,,,,
0,,49,,410.7891845703125,,,,,
0,,59,,440.02978515625,,,,,
0,,69,,483.5252990722656,,,,,
0,,79,,450.0374450683594,,,,,
0,,89,,349.3667907714844,,,,,
0,,99,,513.7000732421875,,,,,
0,,109,,413.5673522949219,,,,,
0,,119,,372.880615234375,,,,,
0,,129,,478.71484375,,,,,
0,,139,,562.3875732421875,,,,,
0,,149,,474.77056884765625,,,,,
0,,159,,503.1850891113281,,,,,
0,,169,,375.2086181640625,,,,,
0,,179,,394.5598449707031,,,,,
0,,189,,455.50872802734375,,,,,
0,,199,,454.70941162109375,,,,,
0,,209,,584.915771484375,,,,,
0,,219,,547.71240234375,,,,,
0,,229,,393.7313232421875,,,,,
0,,239,,427.9858093261719,,,,,
0,,249,,488.10687255859375,,,,,
0,,259,,463.40869140625,,,,,
0,,269,,434.1737976074219,,,,,
0,,279,,446.49359130859375,,,,,
0,,289,,433.5843505859375,,,,,
0,,299,,491.6490478515625,,,,,
0,,309,,494.63671875,,,,,
0,,319,,567.0831298828125,,,,,
0,,329,,492.23577880859375,,,,,
0,,339,,477.7560119628906,,,,,
0,,349,,353.0922546386719,,,,,
0,,359,,430.4931335449219,,,,,
0,,367,,,765.1034545898438,1.0012046098709106,4725.67333984375,1.9999958276748657,765.1034545898438
0,,367,17454874624.0,,,,,,
,0.001,368,,,,,,,
1,,369,,400.49078369140625,,,,,
1,,379,,399.29815673828125,,,,,
1,,389,,350.42327880859375,,,,,
1,,399,,2124.13427734375,,,,,
1,,409,,513.0269165039062,,,,,
1,,419,,359.9927978515625,,,,,
1,,429,,445.638671875,,,,,
1,,439,,404.6552429199219,,,,,
1,,449,,410.379150390625,,,,,
1,,459,,1834.540771484375,,,,,
1,,469,,364.25982666015625,,,,,
1,,479,,463.29656982421875,,,,,
1,,489,,418.2734375,,,,,
1,,499,,493.3949279785156,,,,,
1,,509,,365.3533630371094,,,,,
1,,519,,423.02740478515625,,,,,
1,,529,,459.37060546875,,,,,
1,,539,,427.4604187011719,,,,,
1,,549,,294.0738525390625,,,,,
1,,559,,390.498779296875,,,,,
1,,569,,500.28326416015625,,,,,
1,,579,,306.7568054199219,,,,,
1,,589,,465.10052490234375,,,,,
1,,599,,438.0985107421875,,,,,
1,,609,,469.64990234375,,,,,
1,,619,,448.36236572265625,,,,,
1,,629,,378.0090026855469,,,,,
1,,639,,344.83685302734375,,,,,
1,,649,,434.29052734375,,,,,
1,,659,,381.37359619140625,,,,,
1,,669,,466.88238525390625,,,,,
1,,679,,457.622802734375,,,,,
1,,689,,2044.637939453125,,,,,
1,,699,,315.18359375,,,,,
1,,709,,440.51959228515625,,,,,
1,,719,,498.51898193359375,,,,,
1,,729,,459.0833740234375,,,,,
1,,735,,,765.1034545898438,1.0012046098709106,4725.67333984375,1.9999958276748657,765.1034545898438
1,,735,508.72406005859375,,,,,,
,0.001,736,,,,,,,
2,,739,,496.95172119140625,,,,,
2,,749,,388.2225036621094,,,,,
2,,759,,394.08001708984375,,,,,
2,,769,,338.87420654296875,,,,,
2,,779,,409.64227294921875,,,,,
2,,789,,350.3253173828125,,,,,
2,,799,,2110.2822265625,,,,,
2,,809,,477.7091979980469,,,,,
2,,819,,521.772705078125,,,,,
2,,829,,368.5325012207031,,,,,
2,,839,,452.69122314453125,,,,,
2,,849,,404.71990966796875,,,,,
2,,859,,370.0603942871094,,,,,
2,,869,,507.00274658203125,,,,,
2,,879,,488.24639892578125,,,,,
2,,889,,457.333984375,,,,,
2,,899,,483.81707763671875,,,,,
2,,909,,489.6156311035156,,,,,
2,,919,,1933.732177734375,,,,,
2,,929,,470.7828063964844,,,,,
2,,939,,2103.94482421875,,,,,
2,,949,,411.7047119140625,,,,,
2,,959,,390.015380859375,,,,,
2,,969,,465.17266845703125,,,,,
2,,979,,513.0707397460938,,,,,
2,,989,,2096.906494140625,,,,,
2,,999,,370.5753173828125,,,,,
2,,1009,,449.73516845703125,,,,,
2,,1019,,380.57830810546875,,,,,
2,,1029,,402.7215576171875,,,,,
2,,1039,,396.24493408203125,,,,,
2,,1049,,453.8040771484375,,,,,
2,,1059,,488.46539306640625,,,,,
2,,1069,,1845.75244140625,,,,,
2,,1079,,440.849853515625,,,,,
2,,1089,,290.7979736328125,,,,,
2,,1099,,1737.282958984375,,,,,
2,,1103,,,765.1034545898438,1.0012046098709106,4725.67333984375,1.9999958276748657,765.1034545898438
2,,1103,508.3627624511719,,,,,,
,0.001,1104,,,,,,,
3,,1109,,396.6922912597656,,,,,
3,,1119,,427.25311279296875,,,,,
3,,1129,,461.51007080078125,,,,,
