epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,9,,533.1183471679688,,,,,
0,,19,,432.36944580078125,,,,,
0,,29,,367.13555908203125,,,,,
0,,39,,486.6590576171875,,,,,
0,,49,,452.03912353515625,,,,,
0,,59,,390.2215576171875,,,,,
0,,69,,413.8380432128906,,,,,
0,,79,,442.98101806640625,,,,,
0,,89,,373.93438720703125,,,,,
0,,99,,2233.220947265625,,,,,
0,,109,,437.22821044921875,,,,,
0,,119,,491.98626708984375,,,,,
0,,129,,399.24139404296875,,,,,
0,,139,,376.7835693359375,,,,,
0,,149,,426.1716613769531,,,,,
0,,159,,392.00726318359375,,,,,
0,,169,,391.8756103515625,,,,,
0,,179,,481.81781005859375,,,,,
0,,189,,384.2064208984375,,,,,
0,,199,,411.4727478027344,,,,,
0,,209,,362.3333740234375,,,,,
0,,219,,441.4753112792969,,,,,
0,,229,,425.86712646484375,,,,,
0,,239,,556.779541015625,,,,,
0,,249,,442.09906005859375,,,,,
0,,259,,1747.625732421875,,,,,
0,,269,,353.83062744140625,,,,,
0,,279,,390.7200927734375,,,,,
0,,289,,467.4039306640625,,,,,
0,,299,,416.1856994628906,,,,,
0,,309,,358.03851318359375,,,,,
0,,319,,374.37774658203125,,,,,
0,,329,,482.3226318359375,,,,,
0,,339,,461.2635192871094,,,,,
0,,349,,410.54510498046875,,,,,
0,,359,,326.3873291015625,,,,,
0,,367,,,765.1034545898438,1.0012046098709106,4725.67333984375,1.9999958276748657,765.1034545898438
0,,367,29942689792.0,,,,,,
,0.001,368,,,,,,,
1,,369,,2166.30712890625,,,,,
1,,379,,265.3368835449219,,,,,
1,,389,,380.89501953125,,,,,
1,,399,,321.57470703125,,,,,
1,,409,,489.236328125,,,,,
1,,419,,364.32733154296875,,,,,
1,,429,,456.3231201171875,,,,,
1,,439,,574.41357421875,,,,,
1,,449,,544.5204467773438,,,,,
1,,459,,376.05108642578125,,,,,
1,,469,,424.0040588378906,,,,,
1,,479,,454.8084716796875,,,,,
1,,489,,481.0062561035156,,,,,
1,,499,,390.6828918457031,,,,,
1,,509,,421.1356201171875,,,,,
1,,519,,434.11346435546875,,,,,
1,,529,,294.865478515625,,,,,
1,,539,,408.0008544921875,,,,,
1,,549,,395.76617431640625,,,,,
1,,559,,494.54437255859375,,,,,
1,,569,,502.35052490234375,,,,,
1,,579,,369.26788330078125,,,,,
1,,589,,528.333984375,,,,,
1,,599,,340.849853515625,,,,,
1,,609,,551.719482421875,,,,,
1,,619,,429.48663330078125,,,,,
1,,629,,431.44140625,,,,,
1,,639,,380.2933654785156,,,,,
1,,649,,294.76483154296875,,,,,
1,,659,,543.6071166992188,,,,,
1,,669,,443.16180419921875,,,,,
1,,679,,343.1824951171875,,,,,
1,,689,,400.73748779296875,,,,,
1,,699,,365.16571044921875,,,,,
1,,709,,375.2219543457031,,,,,
1,,719,,393.326171875,,,,,
1,,729,,471.55377197265625,,,,,
1,,735,,,765.1034545898438,1.0012046098709106,4725.67333984375,1.9999958276748657,765.1034545898438
1,,735,508.73089599609375,,,,,,
,0.001,736,,,,,,,
2,,739,,355.28070068359375,,,,,
2,,749,,345.2491455078125,,,,,
2,,759,,417.82366943359375,,,,,
2,,769,,314.07891845703125,,,,,
2,,779,,414.22259521484375,,,,,
2,,789,,448.167724609375,,,,,
2,,799,,457.8762512207031,,,,,
2,,809,,377.3375244140625,,,,,
2,,819,,338.8878173828125,,,,,
2,,829,,415.31329345703125,,,,,
2,,839,,383.261474609375,,,,,
2,,849,,356.5006408691406,,,,,
2,,859,,513.9172973632812,,,,,
2,,869,,425.7652282714844,,,,,
2,,879,,379.4056396484375,,,,,
2,,889,,395.11328125,,,,,
2,,899,,474.91082763671875,,,,,
2,,909,,404.94781494140625,,,,,
2,,919,,378.17669677734375,,,,,
2,,929,,539.6529541015625,,,,,
2,,939,,515.719482421875,,,,,
2,,949,,482.5001525878906,,,,,
2,,959,,323.9642333984375,,,,,
2,,969,,312.75732421875,,,,,
2,,979,,562.9208374023438,,,,,
2,,989,,415.91204833984375,,,,,
2,,999,,2144.674072265625,,,,,
2,,1009,,434.43255615234375,,,,,
2,,1019,,433.21142578125,,,,,
2,,1029,,498.53045654296875,,,,,
2,,1039,,1766.2119140625,,,,,
2,,1049,,414.25732421875,,,,,
2,,1059,,514.7396240234375,,,,,
2,,1069,,426.634765625,,,,,
2,,1079,,419.2166748046875,,,,,
2,,1089,,430.89166259765625,,,,,
2,,1099,,413.35491943359375,,,,,
2,,1103,,,765.1034545898438,1.0012046098709106,4725.67333984375,1.9999958276748657,765.1034545898438
2,,1103,508.6222839355469,,,,,,
,0.001,1104,,,,,,,
3,,1109,,469.4801025390625,,,,,
3,,1119,,411.27264404296875,,,,,
3,,1129,,455.9561767578125,,,,,
3,,1139,,485.73248291015625,,,,,
3,,1149,,404.4501953125,,,,,
3,,1159,,392.91278076171875,,,,,
3,,1169,,542.7523193359375,,,,,
3,,1179,,401.0361022949219,,,,,
3,,1189,,498.89739990234375,,,,,
3,,1199,,385.5242919921875,,,,,
3,,1209,,442.9660949707031,,,,,
3,,1219,,380.6986083984375,,,,,
3,,1229,,464.22320556640625,,,,,
3,,1239,,412.79278564453125,,,,,
3,,1249,,518.14794921875,,,,,
3,,1259,,509.2728271484375,,,,,
3,,1269,,526.9940795898438,,,,,
3,,1279,,402.2794189453125,,,,,
3,,1289,,397.4618835449219,,,,,
3,,1299,,435.862060546875,,,,,
3,,1309,,523.7395629882812,,,,,
3,,1319,,522.4852294921875,,,,,
3,,1329,,372.67962646484375,,,,,
3,,1339,,558.1812744140625,,,,,
3,,1349,,440.70751953125,,,,,
3,,1359,,363.691650390625,,,,,
3,,1369,,368.140869140625,,,,,
3,,1379,,290.8516540527344,,,,,
3,,1389,,523.47021484375,,,,,
3,,1399,,350.94189453125,,,,,
3,,1409,,346.31658935546875,,,,,
3,,1419,,421.2413330078125,,,,,
3,,1429,,1780.7724609375,,,,,
3,,1439,,483.03765869140625,,,,,
3,,1449,,461.18023681640625,,,,,
3,,1459,,384.72149658203125,,,,,
3,,1469,,353.2578125,,,,,
3,,1471,,,765.1034545898438,1.0012046098709106,4725.67333984375,1.9999958276748657,765.1034545898438
3,,1471,508.85577392578125,,,,,,
,0.001,1472,,,,,,,
4,,1479,,356.69451904296875,,,,,
4,,1489,,478.69207763671875,,,,,
4,,1499,,543.0693969726562,,,,,
4,,1509,,484.3500671386719,,,,,
4,,1519,,403.130859375,,,,,
4,,1529,,360.5051574707031,,,,,
4,,1539,,474.8167724609375,,,,,
4,,1549,,329.09307861328125,,,,,
4,,1559,,408.9803161621094,,,,,
4,,1569,,347.52679443359375,,,,,
4,,1579,,431.82061767578125,,,,,
4,,1589,,437.131103515625,,,,,
4,,1599,,486.26556396484375,,,,,
4,,1609,,377.62890625,,,,,
4,,1619,,503.58984375,,,,,
4,,1629,,559.2907104492188,,,,,
4,,1639,,526.3326416015625,,,,,
4,,1649,,462.89898681640625,,,,,
4,,1659,,2213.7548828125,,,,,
4,,1669,,457.76800537109375,,,,,
4,,1679,,440.5313415527344,,,,,
4,,1689,,410.9547119140625,,,,,
4,,1699,,519.984619140625,,,,,
4,,1709,,431.46783447265625,,,,,
4,,1719,,539.3955078125,,,,,
4,,1729,,372.24249267578125,,,,,
4,,1739,,501.4808349609375,,,,,
4,,1749,,502.2992248535156,,,,,
4,,1759,,371.1680603027344,,,,,
4,,1769,,492.904052734375,,,,,
4,,1779,,539.7095947265625,,,,,
4,,1789,,430.90533447265625,,,,,
4,,1799,,402.408447265625,,,,,
