sku,best_source,best_price,best_type,max_price,saving_usd,saving_pct
unknown,hiraoka,5.4,local,8175.541860000324,8170.141860000324,99.93394933213638
12209,hiraoka_pe,23.21,local,108.37,85.16,78.58263357017624
