sol_id,roi_pct,riesgo,n_cats,hhi,capital_usd,ganancia_usd,n_skus,categorias,skus_top3,tipo
30,71.53,5.4114,8,0.1733,4718.69,3375.13,15,cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ram|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
31,72.64,4.587,6,0.1983,3221.15,2339.95,10,cpu|discos_ssd|memorias_ram|monitores|procesadores|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
32,70.38,5.1226,8,0.1311,3900.35,2745.22,12,computadoras|cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
33,65.91,4.894,11,0.1028,4830.29,3183.61,16,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd|tarjetas_video,Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|DISCO DURO SOLIDO 1TB M.2 2230 NVMe PCIe 4.0 1TB SNV3SM3/1T0|Disco duro N300 NAS 8TB SATA 60Gbs 7200rpm 35,min_concentracion
34,71.69,4.2999,7,0.1735,3628.39,2601.1,12,cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Monitor gaming G Pro 27i de 27 2K QHD Fast IPS 180Hz 1Ms,normal
35,66.92,4.6108,10,0.1161,4986.81,3337.39,15,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ssd|tarjetas_video,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W|DISCO DURO SOLIDO 1TB M.2 2230 NVMe PCIe 4.0 1TB SNV3SM3/1T0",normal
36,69.82,6.1283,10,0.1266,4934.49,3445.34,15,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
37,70.81,3.9027,7,0.1894,4595.73,3254.46,14,cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W,normal
38,71.82,4.7923,8,0.1865,4709.04,3381.89,13,computadoras|cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
39,66.4,5.371,11,0.1034,4651.86,3088.73,16,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd|tarjetas_video,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W|Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA1700",normal
40,72.75,4.2761,7,0.2197,4457.44,3242.96,13,cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
41,70.69,4.3772,8,0.1825,4970.08,3513.46,14,computadoras|cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W,normal
42,69.87,4.6796,8,0.1376,4174.63,2916.83,15,computadoras|cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W,normal
43,66.85,4.8598,10,0.1058,4649.21,3107.97,16,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ssd|tarjetas_video,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W|Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA1700",normal
44,68.25,3.7533,8,0.1441,4425.1,3020.02,15,computadoras|cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W|DISCO DURO SOLIDO 1TB M.2 2230 NVMe PCIe 4.0 1TB SNV3SM3/1T0",normal
45,69.99,4.2883,8,0.1631,4280.02,2995.59,13,computadoras|cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,"Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W",normal
46,66.86,4.0481,9,0.1214,4594.6,3071.82,16,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ssd,Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|DISCO DURO SOLIDO 1TB M.2 2230 NVMe PCIe 4.0 1TB SNV3SM3/1T0|Disco duro N300 NAS 8TB SATA 60Gbs 7200rpm 35,normal
47,66.23,4.9451,11,0.1147,4929.03,3264.62,15,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd|tarjetas_video,Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|DISCO DURO SOLIDO 1TB M.2 2230 NVMe PCIe 4.0 1TB SNV3SM3/1T0|Disco duro N300 NAS 8TB SATA 60Gbs 7200rpm 35,normal
48,69.57,5.1195,9,0.144,4442.27,3090.65,12,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ssd,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W",normal
49,66.72,3.7075,9,0.1403,3771.44,2516.44,14,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ssd,Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|DISCO DURO SOLIDO 1TB M.2 2230 NVMe PCIe 4.0 1TB SNV3SM3/1T0|Disco duro N300 NAS 8TB SATA 60Gbs 7200rpm 35,normal
