sol_id,roi_pct,riesgo,n_cats,hhi,capital_usd,ganancia_usd,n_skus,categorias,skus_top3,tipo
64,69.44,5.9137,10,0.1599,4806.48,3337.68,14,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W,normal
65,68.38,4.6514,8,0.1303,3920.46,2680.66,14,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|procesadores|ssd,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W|Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA1700",normal
66,70.32,4.756,7,0.15,3348.28,2354.53,11,cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA1700,normal
67,67.11,5.0493,10,0.1057,4655.71,3124.49,15,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ssd|tarjetas_video,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W|Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA1700",normal
68,68.72,5.5839,10,0.1177,4834.47,3322.36,17,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd,Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W,normal
69,70.79,4.2068,7,0.1694,3856.18,2729.89,13,cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W",normal
70,72.01,5.5195,8,0.1961,4421.73,3184.16,14,cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ram|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
71,66.55,4.5692,10,0.1161,4986.81,3318.78,16,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ssd|tarjetas_video,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W|DISCO DURO SOLIDO 1TB M.2 2230 NVMe PCIe 4.0 1TB SNV3SM3/1T0",normal
72,68.71,4.6615,9,0.1408,4532.67,3114.44,14,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ssd,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W",normal
73,69.35,3.738,7,0.1674,4475.01,3103.24,14,cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W|Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA1700,normal
74,67.8,5.0371,10,0.1199,4697.36,3184.81,16,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W|Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA1700",normal
