sku,producto,marca,categoria,r_j,label_pred,p_vigente,p_en_riesgo,p_obsoleto,rank_obsolescencia
10067840,"Tarjeta de video Asus Dual NVIDIA GeForce RTX 5050, 8GB GDDR6, PCI Express 5.0",Asus,GPU,0.0014,VIGENTE,0.9981,0.0009,0.001,37
10051005,"Gabinete Antryx RX-250, USB3.0, FRGB FAN X4, panel lateral de vidrio templado",Antryx,CASE,0.0013,VIGENTE,0.9983,0.0009,0.0008,38
10051028,"Cooler procesador Antryx Mirage Infinity white, ARGB",Antryx,COOLER,0.0013,VIGENTE,0.9982,0.0011,0.0007,39
10041876,"Sistema de enfriamiento líquido Triton Infinity 240, negro",Antryx,COOLER,0.0013,VIGENTE,0.9983,0.0008,0.0008,40
10051006,"Gabinete Antryx RX-260 BLACK, USB3.0, FRGB FAN X4, panel lateral de vidrio templado",Antryx,CASE,0.0013,VIGENTE,0.9983,0.0009,0.0009,41
6681,"Sistema de refrigeración líquida MSI MPG Coreliquid K240, ARGB, 240 mm, 2 FAN, pantalla LCD 2.4""",Msi,COOLER,0.0013,VIGENTE,0.9983,0.0008,0.0009,42
10048420,"Placa Madre MSI PRO A620M-E Socket AM5, DDR5, Micro-ATX, PCIe 4.0, RAID SATA, Ranura M.2, HDMI 2.1, LAN Realtek",Msi,MOTHERBOARD,0.0013,VIGENTE,0.9982,0.001,0.0008,43
10047318,"Gabinete Antryx Xtreme Micro XM-310 Black, USB 3.0, con fuente B500w",Antryx,CASE,0.0013,VIGENTE,0.9983,0.0009,0.0008,44
10047333,Cooler para procesador Antryx Mirage 410 ARGB,Antryx,COOLER,0.0013,VIGENTE,0.9983,0.0008,0.0009,45
10047317,"Gabinete Antryx Xtreme E250 Plus Black, USB 3.0, con fuente B450w",Antryx,CASE,0.0013,VIGENTE,0.9983,0.0009,0.0009,46
10047311,"Gabinete Antryx FX Cruiser Black, incluye 3 ventiladores ARGB, panel lateral de vidrio templado, malla frontal, sin fuente",Antryx,CASE,0.0013,VIGENTE,0.9983,0.0008,0.0009,47
10047306,"Gabinete Antryx RX-430U Black, incluye 1 ventiladores ARGB + barra de luz ARGB, panel lateral de vidrio templado, con fuente B600w",Antryx,CASE,0.0013,VIGENTE,0.9983,0.0009,0.0008,48
6682,"Sistema de refrigeración líquida MSI MPG Coreliquid K360, 360mm, 3-FAN, pantalla LCD 2.4""",Msi,COOLER,0.0013,VIGENTE,0.9983,0.0009,0.0009,49
10047322,"Fuente de poder Antryx Kirin Gold Evo II 1200W, 80 Plus Gold, modular ATV3.0, Pcie 5.0",Antryx,PSU,0.0013,VIGENTE,0.9983,0.0008,0.0009,50
10042120,"Fuente de poder Teros TE-7160 600W, 80 Plus Bronze",Teros,PSU,0.0013,VIGENTE,0.9982,0.0011,0.0007,51
4339,"Unidad de estado sólido SSD Kingston Ssd A400 480GB de capacidad , 2.5"", SATA3",Kingston,SSD,0.0013,VIGENTE,0.9983,0.0009,0.0009,52
10041904,Fuente de poder Seasonic Focus GX-1000W 80 Plus Gold Modular PCIE5.0,Seasonic,PSU,0.0013,VIGENTE,0.9983,0.0009,0.0009,53
10057981,Unidad de estado sólido SSD Kingston Fury Renegade G5 1TB M.2 PCIE5 NVME 2280,Kingston,SSD,0.0013,VIGENTE,0.9983,0.0009,0.0008,54
10048103,"Placa madre MSI PRO B650M-P, socket AM5, DDR5 hasta 192GB, factor micro-ATX, 2x M.2 PCIe 4.0, LAN 2.5G, HDMI y DisplayPort",Msi,MOTHERBOARD,0.0013,VIGENTE,0.9982,0.001,0.0008,55
